superproduct_id,premoteid,chain_id,store_id,price,first_seen,last_seen
41785749,3614271639769,365,32311845,25.0,26/01/23,26/01/23
41785749,3614271639769,365,32311845,25.0,26/01/23,26/01/23
41785749,3614271639769,365,32311845,25.0,26/01/23,26/01/23
41785749,3614271639769,365,32311845,25.0,26/01/23,26/01/23
44214921,3614272828827,365,32311845,30.0,26/01/23,31/01/23
44214921,3614272828827,365,32311845,30.0,26/01/23,31/01/23
44214921,3614272828827,365,32311845,30.0,26/01/23,31/01/23
44214921,3614272828827,365,32311845,30.0,26/01/23,31/01/23
42072572,3614272110175,365,32311845,24.5,01/02/23,07/02/23
42072572,3614272110175,365,32311845,24.5,01/02/23,07/02/23
42072572,3614272110175,365,32311845,24.5,01/02/23,07/02/23
42072572,3614272110175,365,32311845,24.5,01/02/23,07/02/23
34975558,3147758030303,365,32311845,31.0,02/02/23,10/02/23
34975558,3147758030303,365,32311845,31.0,02/02/23,10/02/23
34975558,3147758030303,365,32311845,31.0,02/02/23,10/02/23
34975558,3147758030303,365,32311845,31.0,02/02/23,10/02/23
42072413,3605532202945,365,32311845,28.5,26/01/23,11/02/23
41785749,3614271639769,365,32311845,25.0,09/02/23,11/02/23
44368688,3614273074629,365,32311845,25.0,26/01/23,11/02/23
44265655,3614271219978,365,32311845,25.0,26/01/23,11/02/23
41986163,3605532674926,365,32311845,22.5,26/01/23,11/02/23
44205966,3614271437938,365,32311845,35.0,26/01/23,11/02/23
42072625,3614273357197,365,32311845,108.0,26/01/23,11/02/23
44188823,3605530253338,365,32311845,46.0,26/01/23,11/02/23
41986318,3614271876188,365,32311845,22.5,26/01/23,11/02/23
42072413,3605532202945,365,32311845,28.5,26/01/23,11/02/23
41785749,3614271639769,365,32311845,25.0,09/02/23,11/02/23
44368688,3614273074629,365,32311845,25.0,26/01/23,11/02/23
44265655,3614271219978,365,32311845,25.0,26/01/23,11/02/23
41986163,3605532674926,365,32311845,22.5,26/01/23,11/02/23
44205966,3614271437938,365,32311845,35.0,26/01/23,11/02/23
42072625,3614273357197,365,32311845,108.0,26/01/23,11/02/23
